Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
7.87,2.67,1.01,1.549,K4III,15.002556,Dwarf
8.8,4.48,1.07,0.294,A2II/IIIw..,17.056389,Dwarf
8.57,-0.29,1.05,0.18,B2/B3III,10.8819895,Dwarf
9.23,4.24,1.31,1.152,K0III,17.366829,Dwarf
7.43,2.55,0.63,1.26,K1III,14.4627,Dwarf
9.33,2.89,1.44,0.986,K0IIICN...,16.63449,Dwarf
7.46,5.69,0.95,0.997,G8III/IV,16.235561,Gaint
6.41,2.17,0.63,0.998,G3II,13.0922985,Dwarf
8.23,4.93,0.88,0.043,A0V,16.694233,Gaint
8.6,1.92,1.09,0.302,A5V,15.016506,Gaint
6.95,12.81,0.95,0.485,F2III,17.487747,Dwarf
7.93,7.89,0.98,1.081,K0III,17.415384,Dwarf
7.33,8.15,1.07,0.353,F0V,16.885788,Gaint
9.36,8.38,2.39,0.547,F7V,18.97622,Gaint
8.39,4.88,0.74,0.377,F0III/IV,16.8321,Gaint
7.86,3.33,0.95,0.053,B9.5V,15.472221,Gaint
7.53,5.58,0.88,0.978,G8III,16.263172,Dwarf
5.6,3.63,0.97,-0.057,B9.5III,13.399534,Dwarf
8.33,5.39,0.97,1.172,K2III,16.987944,Dwarf
8.28,9.99,1.39,0.405,F3V,18.277828,Gaint
7.13,4.81,0.72,1.25,K2III,15.540726,Dwarf
8.23,2.73,0.85,1.223,K1III,15.410813,Dwarf
8.69,3.63,1.08,1.072,K2/K3III:,16.489532,Dwarf
9.03,1.29,1.12,-0.054,B5III,14.582949,Dwarf
9.07,0.21,1.4,0.23,B3II,10.681096,Dwarf
7.36,5.84,0.85,0.451,F3/F5III,16.192064,Dwarf
5.87,3.52,0.83,-0.136,B7III,13.602713,Dwarf
7.92,12.64,0.8,0.508,F6V,18.428736,Gaint
8.53,19.61,1.54,0.625,G3V,19.992388,Gaint
8.69,5.22,2.21,0.331,F0V,17.27835,Gaint
7.96,30.19,1.08,0.717,G8V,20.359316,Gaint
6.36,5.07,0.76,1.399,K3III,14.88504,Dwarf
9.26,13.71,1.38,0.558,G0V,19.945187,Gaint
9.01,1.73,1.25,1.652,K5/M0III:,15.200231,Dwarf
8.26,1.58,1.04,-0.14,B2III,14.253286,Dwarf
8.07,3.97,1.2,1.124,K0III,16.063953,Dwarf
7.45,2.63,1.32,0.061,B7V,14.549778,Gaint
7.41,4.65,0.91,1.054,K0III/IV,15.747265,Gaint
9.21,3.97,1.4,0.533,F6V,17.203953,Gaint
7.34,0.91,0.89,0.924,G6:IIICNpva,12.135207,Dwarf
9.26,1.63,1.28,1.068,K0III,15.320938,Dwarf
9.84,3.48,1.54,0.419,F2/F3V,17.547897,Gaint
8.62,3.91,0.76,1.317,K2III,16.580883,Dwarf
9.25,1.18,1.1,1.265,K1/K2III:,14.60941,Dwarf
10.36,-2.1,8.08,0.455,B0II,16.971096,Dwarf
8.06,6.01,0.99,1.194,K0III,16.954372,Dwarf
9.17,7.33,1.53,0.635,F7IV/V,18.49552,Gaint
7.17,30.07,0.56,0.637,G2IV,19.560667,Gaint
8.37,3.84,1.15,0.418,F3IV/V,16.291656,Gaint
8.16,0.42,0.75,1.659,K5/M0III:,11.276246,Dwarf
8.6,3.59,1.37,0.501,F3V,16.375473,Gaint
8.76,7.26,0.87,0.636,G0IV/V,18.064684,Gaint
9.09,3.55,0.9,0.289,F0V,16.84114,Gaint
7.06,7,1.2,1.293,M7III,16.28549,Dwarf
7.03,18.9,0.93,0.441,F3V,18.41231,Gaint
7.98,2.09,1.11,1.658,K5III,14.580732,Dwarf
6.16,11.86,0.88,0.374,F6II,16.530424,Dwarf
8.82,4.36,0.85,0.528,F6IV,17.017433,Gaint
7.23,7.24,0.81,0.195,A4V,16.528692,Gaint
9.11,6.05,0.76,0.587,G0V,18.018776,Gaint
6.84,4.71,0.89,0.895,G3II/III,15.205105,Dwarf
9.1,1.42,0.83,0.813,G5III+...,14.861443,Dwarf
9.29,52.92,1.48,1.318,K4V,22.9081,Gaint
5.62,10.35,0.96,0.949,G7III,15.694701,Dwarf
6.74,1.91,0.75,0.039,B2IV,13.145166,Gaint
8.49,7.54,1.09,0.6,G0V,17.876856,Gaint
8.75,12.45,1.19,0.434,F2V,19.225845,Gaint
8.86,4.75,1.25,1.138,K0III,17.24347,Dwarf
4.22,55.79,0.69,0.434,F3/F5V,17.952782,Gaint
9.44,7.28,1.63,0.502,F3/F5V,18.750656,Gaint
9.52,4.44,1.41,0.459,F2IV/V,17.756916,Gaint
7.34,3.91,0.86,0.435,F3IV/V,15.300884,Gaint
8.6,3.32,1.47,1.64,M3IIIvar,16.20569,Dwarf
5.92,10.98,0.7,0.023,B9.5V,16.12301,Gaint
7.67,2.81,0.7,0.912,G8III,14.913532,Dwarf
7.95,2.18,0.66,-0.018,B8V,14.6422825,Gaint
6.93,18.69,0.7,0.477,F3V,18.288046,Gaint
8.69,11.97,1.25,0.544,G1V,19.080471,Gaint
7.82,10.79,1.15,0.44,F3V,17.985107,Gaint
8.27,0.23,2.61,1.363,K2III,10.07864,Dwarf
8.64,9.56,1.18,0.528,F6V,18.54229,Gaint
7.66,1.59,0.81,0.071,B2/B3II,13.6669855,Dwarf
7.89,2.44,1.13,0.864,G5III,14.82695,Dwarf
6.3,5.35,1,1.068,K1III,14.941769,Dwarf
7.43,5.37,1.2,1.03,G8III,16.079872,Dwarf
9.21,3.53,1.28,0.335,A9V,16.948874,Gaint
7.76,2.6,0.9,1.07,K0III+...,14.8348675,Dwarf
5.82,4.99,0.74,1.334,K2III,14.310503,Dwarf
9.54,11.86,1.66,0.867,K0V,19.910423,Gaint
9.81,3.38,1.43,0.76,G3IV/V,17.454584,Gaint
5.14,5.8,0.81,1.635,M0III,13.95714,Dwarf
9.41,2.13,1.48,1.281,K2III,16.051899,Dwarf
9.86,2.77,1.74,0.25,B1Ia,17.0724,Dwarf
4.45,5.14,0.78,-0.18,B3IV,13.004815,Gaint
7.21,7.94,0.88,1.246,K3III,16.709103,Dwarf
7.11,5.1,0.96,0.993,K0III,15.647852,Dwarf
8.06,2.49,0.91,0.026,A0III,15.040997,Dwarf
9.59,7.31,1.8,0.287,A9V,18.909588,Gaint
7.16,5.85,0.75,0.941,K0III,15.995779,Dwarf
9.14,8.98,1.67,0.496,F2V,18.906384,Gaint
8.27,19.65,1.07,0.582,F8V,19.736813,Gaint
8.3,16.93,1.12,0.704,G5V,19.443285,Gaint
5.99,2.24,0.74,0.199,O9.5Vvar,12.74124,Gaint
8.59,3.03,0.71,0.065,B9IV/V,15.997213,Gaint
7.63,2.03,0.63,1.694,M1III,14.16748,Dwarf
8.41,2.28,1.03,1.071,K0III,15.199675,Dwarf
9.57,3.2,1.39,0.667,G5/G6V:w,17.095749,Gaint
8.86,5.71,1.22,0.7,K1/K2III:+.,17.64318,Dwarf
8.02,3.32,0.98,1.341,K1III,15.62569,Dwarf
8.46,6.41,1.07,0.395,F0V,17.49429,Gaint
8.39,15.77,1.09,0.608,G2V,19.379158,Gaint
9.08,32.53,1.56,0.957,K2V,21.64142,Gaint
7.19,6.59,1.02,0.947,K0III,16.284428,Dwarf
8.47,9.83,1.02,0.417,F3/F5IV/V,18.432768,Gaint
9.95,15.2,2.15,0.972,K1III:,20.859219,Dwarf
9.68,1.99,1.33,0.095,A0V,16.174267,Gaint
7.71,3.58,1.33,1.72,M1III,15.479416,Dwarf
7.91,4.03,0.95,0.033,A0V,15.936525,Gaint
8.96,9.52,1.34,0.56,G5/G6V:+...,18.853184,Gaint
8.39,2.68,1.61,1.01,G8III,15.530674,Dwarf
6.17,11.26,0.87,0.124,A2V,16.427692,Gaint
5.29,13.06,0.54,1.304,K3III,15.869716,Dwarf
7.43,10.81,0.87,0.471,F6V,17.599129,Gaint
7.56,7.7,1.05,0.241,A5V+...,16.992453,Gaint
8.49,3.11,0.84,0.027,B9V,15.953802,Gaint
8.31,-0.12,0.83,0,B1III:var,8.705907,Dwarf
6.74,20.99,0.85,0.502,F6V,18.350061,Gaint
9.3,1.55,0.86,0.994,G8III,15.251658,Dwarf
7.39,4.94,0.82,-0.044,A0V,15.858635,Gaint
9.77,2.25,1.78,0.148,A3V,16.530912,Gaint
8.45,15.15,1.15,0.521,F6/F7V,19.352062,Gaint
7.87,11.95,1.05,0.961,G8III,18.25684,Dwarf
8.85,11.14,0.9,0.572,G1V,19.084427,Gaint
8.43,-0.08,0.97,0.061,B9.5III/IV,7.9454503,Gaint
7.3,4.94,1.03,1.061,K0III,15.768636,Dwarf
6.09,7.78,0.94,1.027,G9III,15.544898,Dwarf
9.44,24.11,1.23,0.955,K3V,21.350986,Gaint
8.05,3.98,0.93,1.18,K2III,16.049416,Dwarf
7.23,5.29,1,1.118,K0III,15.847279,Dwarf
9.32,2.6,0.88,1.453,K3/K4III:,16.394867,Dwarf
9.35,1.91,1.42,-0.101,B8/B9III:,15.755167,Dwarf
7.89,11.35,0.86,0.523,F7V,18.16498,Gaint
9.96,1.94,1.91,0.63,O9.5Ia:,16.39901,Dwarf
10.11,20.28,1.82,1.01,K3V,21.64534,Gaint
5.88,3.51,0.63,1.322,K2III,13.606536,Dwarf
8.52,1.12,1.11,-0.015,B8IV/V,13.76609,Gaint
7.82,3.11,1.03,1.323,K2/K3III,15.283802,Dwarf
8.72,2.06,1.11,-0.155,B9III,15.289336,Dwarf
5.69,1.92,0.63,-0.165,B2II,12.106506,Dwarf
9.29,5.85,0.89,0.484,F6V,18.125778,Gaint
9.41,4.25,1.36,1.31,K2/K3III:,17.551945,Dwarf
8.57,2.61,1.09,0.934,G5III,15.653202,Dwarf
6.37,25.27,0.71,0.448,F3V:,18.383026,Gaint
6.78,3.3,0.82,0.933,G8III,14.37257,Dwarf
7.4,17.92,0.66,0.465,F5V,18.666689,Gaint
7.64,9.35,0.92,0.5,F5IV/V,17.494059,Gaint
8.52,3.13,0.87,1.39,M3III,15.997723,Dwarf
7.19,3.43,0.91,0.578,K1III+...,14.86647,Dwarf
7.97,1.65,0.96,1.157,G8III/IV,14.05742,Gaint
8.19,10.93,1.27,0.462,F5V,18.3831,Gaint
7.51,9.78,0.9,0.893,G8IV,17.461695,Gaint
9.72,-1.43,1.69,0.276,B7/B8II,15.49668,Dwarf
7.7,4.93,1.15,0.078,B9V,16.164234,Gaint
8.19,3.77,0.86,1.155,K1III,16.071707,Dwarf
9.88,6.67,1.38,0.523,G0V,19.00063,Gaint
7.62,1.29,0.68,-0.147,B5IV/V,13.172949,Gaint
5.69,1.07,0.74,1.332,K3III,10.836919,Dwarf
7.74,14.53,0.91,0.817,G8V,18.551329,Gaint
9.48,-2.74,1.37,0.01,A0III,16.668753,Dwarf
6.97,5.47,0.58,0.934,G6/G8III,15.659937,Dwarf
8.7,14.86,1.17,0.586,G1V,19.560093,Gaint
7.4,2.81,0.6,1.26,K1/K2III,14.643532,Dwarf
8.02,11.54,0.83,0.465,F3V,18.33103,Gaint
8.74,2.68,1.12,1.118,K1III,15.880674,Dwarf
7.2,2.51,0.95,0.008,A0IV,14.198368,Gaint
7.63,4,0.98,-0.001,A0V,15.640301,Gaint
8.78,0.29,1.26,1.16,K1III,11.0919895,Dwarf
7.61,16.06,1.72,0.62,G8/K0V:+...,18.63873,Gaint
8.58,1.98,1.13,1.706,M1/M2III,15.063326,Dwarf
6.74,1.34,0.71,0.55,F7Ib/II,12.375524,Dwarf
6.63,2.65,0.74,-0.058,B6V,13.746229,Gaint
7.53,5.03,0.68,0.233,A7IV,16.03784,Gaint
7.5,36.11,0.59,0.705,G6V,20.288137,Gaint
5.73,62.92,0.62,0.749,G6IV+...,19.723944,Gaint
8.85,3.41,0.86,0.304,A7IV,16.513773,Gaint
9.07,1.97,1.5,0.484,F5V,15.542331,Gaint
5.41,5.84,0.45,-0.11,B7IV,14.242064,Gaint
7.51,4.72,0.97,0.95,G8/K0IV,15.87971,Gaint
7.73,-0.22,0.91,1.564,K5III,9.442114,Dwarf
5.7,11.23,0.76,0.964,G8.5III,15.951899,Dwarf
8.04,9.88,0.96,0.352,F0V,18.013784,Gaint
8.64,5.52,1.31,1.271,K2/K3III,17.349697,Dwarf
7.93,1.96,0.81,0.95,G8III,14.391281,Dwarf
8.92,1.38,0.96,1.147,K1III,14.619396,Dwarf
8.9,2.29,0.78,1.234,K1/K2III,15.699177,Dwarf
8.2,1.94,1.09,1.668,K3III,14.6390085,Dwarf
7.45,9.59,0.83,0.307,A8/A9III,17.359093,Dwarf
8.11,8.64,0.99,0.569,F8/G0V,17.792568,Gaint
5.86,8.35,0.74,0.98,G5III:,15.468431,Dwarf
8.93,1.91,1.9,0.02,B8IV/V,15.335167,Gaint
8.56,4.08,1.17,1.068,K0III,16.6133,Dwarf
8.9,0.57,1.25,1.426,K3III,12.679374,Dwarf
9.1,4.73,1.33,0.266,A1V,17.474306,Gaint
8.4,-0.83,1.57,1.3,K2III,12.99539,Dwarf
9.52,9.84,1.63,0.567,G2III,19.484976,Dwarf
6.74,29.22,0.96,0.545,F8V,19.068401,Gaint
8.36,0.29,1.23,0.4,B1III,10.671989,Dwarf
7.63,8.73,0.55,0.513,F5IV,17.335072,Gaint
9.34,10.33,1.32,0.651,G3V,19.410501,Gaint
9.42,1.77,1.44,1.4,K2III,15.659866,Dwarf
8.76,4.55,1.3,1.044,K0III,17.050056,Dwarf
9.02,11.1,0.75,0.585,G0V,19.246614,Gaint
9.5,35.95,1.22,1.157,K5V,22.278494,Gaint
7.72,7.77,0.55,0.351,F0/F2III,17.172106,Dwarf
8.19,16.62,1.26,0.617,G5V,19.293156,Gaint
8.93,2.17,1.29,1.479,K4III,15.612299,Dwarf
8.58,10.78,1.17,0.322,F0V,18.743093,Gaint
8.72,6.79,1.12,0.339,F0V,17.879349,Gaint
8.56,2.87,1.72,1.126,K0III,15.84941,Dwarf
7.64,1.86,1.8,-0.06,B6II/III,13.987564,Dwarf
6.01,7.81,0.74,-0.027,A0V,15.473255,Gaint
4.97,55.22,0.73,0.714,G5V,18.680481,Gaint
8.67,0.29,1.09,1.497,K4IV,10.98199,Gaint
8.63,15.18,0.94,0.558,F7V,19.536358,Gaint
8.17,10.44,1.07,0.518,F7Vws,18.263504,Gaint
7.93,4.72,1.03,0.195,A4/A5IV,16.29971,Gaint
8.83,1.74,0.84,0.932,G8III,15.032745,Dwarf
6.9,6.08,0.88,0.026,A0/A1V,15.819517,Gaint
8.54,10.78,1.17,0.516,F5V,18.703094,Gaint
6.85,9.56,0.85,0.16,A3V,16.752289,Gaint
6.78,5.96,0.92,1.348,K3III,15.656231,Dwarf
7.3,3.88,0.79,1.45,K3III,15.24416,Dwarf
10.01,-0.75,2.08,0.07,B8V,14.385306,Gaint
8.59,15.32,6.93,0.25,A3V,19.516294,Gaint
5.22,7.65,0.52,0.954,G8III,14.638308,Dwarf
6.79,9.69,1.05,1.296,K3III,16.721619,Dwarf
8.87,4.68,0.86,0.367,A9V,17.22123,Gaint
8.04,6.21,0.62,1.108,K1III,17.005459,Dwarf
7.83,1.9,0.79,-0.099,B6V,14.223768,Gaint
8.68,9.84,1.93,0.583,F7V,18.644976,Gaint
8.53,2.01,0.73,1.659,M2III,15.04598,Dwarf
9.04,11.41,1.07,0.627,G1V,19.326427,Gaint
7.32,0.7,0.78,1.406,K1III,11.54549,Dwarf
5.49,12.29,0.89,1.021,K1/K2III,15.937759,Dwarf
8.31,0.34,1.52,1.16,K4III,10.967395,Dwarf
9.06,-0.8,1.41,1.293,G6/G8III:,13.575451,Dwarf
8.77,2.98,0.93,1.125,G8III,16.141083,Dwarf
8.93,4.14,1.24,0.353,F0V,17.015003,Gaint
6.27,7.07,0.54,1.315,K3III,15.517097,Dwarf
9.36,3.99,1.36,0.226,B8II/III,17.364864,Dwarf
8.62,1.36,1.08,0.084,B9IV/V,14.287695,Gaint
8.76,-0.34,2.03,0.315,B9IV,11.417395,Gaint
8.76,4.41,1.14,0.492,F5V,16.982193,Gaint
7.35,2.27,0.83,1.3,K1III,14.130129,Dwarf
8.41,-0.45,1.06,0.399,B1/B2II/III,11.676063,Dwarf
9.56,0.95,5.74,0.363,F2III/IV,14.448618,Gaint
8.71,1.3,1.25,0.977,G8III,14.2797165,Dwarf
7.55,0.16,0.6,-0.048,B9III/IV,8.5706005,Gaint
7.78,15.26,1.03,0.563,F8/G0V,18.697773,Gaint
8.18,1.02,1.2,1.687,M1/M2III,13.2230015,Dwarf
8.97,3.96,1.45,1.6,K0/K1III,16.958477,Dwarf
5.84,9.91,0.79,0.233,A3V,15.820369,Gaint
7.64,1.46,0.97,1.533,M0III,13.461764,Dwarf
8.42,12.15,1.16,0.529,F5V,18.84288,Gaint
9.28,37.93,5,1.281,K5V,22.174915,Gaint
8.48,2.01,1.05,1.761,M2III,14.995979,Dwarf
8.29,7.33,0.65,0.267,A8IV/V,17.61552,Gaint
8.17,5.88,1.02,0.348,A9V,17.016888,Gaint
8.35,14.49,2.41,0.632,G1V,19.155342,Gaint
9.68,7.39,3.79,1.28,K2III,19.023224,Dwarf
7.93,9.31,1.09,0.331,F0V,17.774748,Gaint
6.79,3.12,0.52,-0.048,B9V,14.260773,Gaint
7.71,2.84,1.47,0.037,A0IV/V,14.976592,Gaint
9.69,0.36,1.59,0.393,F2V,12.471512,Gaint
7.43,0.49,0.81,-0.047,B2/B3IV,10.8809805,Gaint
9.1,3.43,1.28,0.34,F0IV,16.77647,Gaint
6.56,2.51,0.71,-0.077,B3III/IV,13.558369,Gaint
10.48,19.35,2.01,1.155,K5V,21.913404,Gaint
5.99,9.79,0.92,1.034,G8III:,15.943913,Dwarf
9.33,9.52,1.79,0.573,G1V,19.223185,Gaint
3.25,32.17,0.77,1.091,K2III,15.787255,Dwarf
8.79,3.77,1.17,0.904,G6III/IVw,16.671707,Gaint
9.04,1.94,0.78,1.48,K3III,15.479009,Dwarf
5.11,1.09,0.57,1.108,G6VII,10.2971325,Dwarf
9.43,2.82,1.29,0.388,A9IV,16.681246,Gaint
5.91,4.54,0.61,-0.17,B2IV/V,14.195279,Gaint
7.49,2.89,1.07,-0.062,B2V,14.794489,Gaint
7.73,1.63,1.06,1.861,K4III,13.790938,Dwarf
9.66,6.23,1.59,0.583,G1/G2V,18.63244,Gaint
6.58,3.52,0.57,1.226,K2/K3IIICN.,14.312714,Dwarf
8.84,7.97,0.94,0.913,G8/K0III,18.347292,Dwarf
8.76,2.65,0.98,0.903,G8III,15.87623,Dwarf
6.99,4.75,1.21,1.008,K1III: (+G),15.373468,Dwarf
7.74,8.99,1.23,1.216,K0III,17.508799,Dwarf
6.68,3.49,0.78,1.333,K2III,14.394127,Dwarf
5.78,9,0.82,-0.076,B8V,15.551212,Gaint
8.89,3.29,0.73,0.973,G6III,16.475979,Dwarf
8.67,7.41,1.13,0.301,F0V,18.01909,Gaint
9.01,1.65,1.27,1.5,K3/K4III,15.09742,Dwarf
6.92,6.46,0.83,-0.067,B9Vn,15.971163,Gaint
8.38,9.35,1.06,0.95,G8VCN...,18.234058,Gaint
7.45,8.43,0.96,1.079,K0III,17.079136,Dwarf
7.53,1.34,0.65,1.635,M2II,13.165524,Dwarf
10.23,-2.37,1.69,0.833,F6Iab,17.10374,Dwarf
8.51,2.89,1.17,1.341,K1/K2III,15.814489,Dwarf
6.04,3.62,0.54,-0.071,B8III,13.833543,Dwarf
9.15,2.67,1.26,0.29,B6III,16.282557,Dwarf
8.15,4.34,1.12,1.14,K0III,16.337448,Dwarf
6.18,9.75,0.84,1.17,K2III,16.125023,Dwarf
9.36,9.48,1.36,0.541,G0V,19.244041,Gaint
7.93,3.85,0.95,1.332,K2/K3III,15.857304,Dwarf
7.3,13.63,1.04,0.677,G5V,17.972479,Gaint
6.44,2.59,0.77,1.683,M0/M1III,13.506498,Dwarf
7.99,3.93,1.01,-0.075,B6V,15.961963,Gaint
8.78,11.47,0.94,0.613,G2V,19.077816,Gaint
6.39,12.41,0.93,0.991,K0III,16.85886,Dwarf
8.52,0.57,1.39,1.471,K2/K3III:,12.299375,Dwarf
8.96,2.68,0.93,1.424,K3III:,16.100674,Dwarf
8.69,10.01,0.71,0.539,F8V,18.69217,Gaint
7.94,4.89,1.03,1.142,K0III,16.386545,Dwarf
6.55,3.78,0.78,0.887,G5II/III,14.437459,Dwarf
8.86,1.98,0.95,0.168,B1Vne,15.343326,Gaint
8.57,12.92,1.23,0.589,G1/G2V,19.126312,Gaint
9.02,1.65,1.39,0.018,B9.5V,15.10742,Gaint
7.58,2.49,0.88,0.129,A1III/IV,14.560997,Gaint
6.85,8.72,0.83,1.082,K1III,16.552582,Dwarf
8,1.57,0.96,-0.061,B3V,13.979499,Gaint
3.7,24.12,0.52,0.935,K0III,15.611887,Dwarf
6.8,8.94,0.78,1.097,K2III,16.556688,Dwarf
7.82,8.1,0.73,0.502,F6V,17.362425,Gaint
8.8,4.27,0.87,0.893,K0III,16.95214,Dwarf
8.32,1.67,0.72,0.034,B9.5V,14.433582,Gaint
8.47,11.01,0.94,0.549,F8V,18.678936,Gaint
7.15,4.54,0.82,1.388,K2III,15.43528,Dwarf
8.59,2.22,0.73,1.134,K0II/III,15.321766,Dwarf
8.3,5.04,1.18,0.727,F6III,16.812153,Dwarf
4.86,1.76,0.85,1.412,K1II,11.087564,Dwarf
8.84,1.76,1.26,1.003,G8II/III,15.067564,Dwarf
7.18,0.91,0.96,1.53,K4III,11.975206,Dwarf
9.12,3.16,3.25,0.057,B9V,16.618435,Gaint
5.69,-0.07,0.85,0.584,F2Ib-II,4.91549,Dwarf
7.93,4.72,0.88,1.25,K0III,16.29971,Dwarf
3.22,6.39,0.86,-0.227,B1.5IV,12.247504,Gaint
6.58,3.43,0.76,0.085,A2V,14.25647,Gaint
8.68,1.77,0.88,0.969,G6/G8III,14.919867,Dwarf
6.96,4.09,0.68,1.33,K2III,15.018617,Dwarf
